name,number,game_id,place,date
[сериалы] ,#7,61670,Old School Pub,"16 августа, Среда"
"Квиз, плиз! ",#866,61676,Chesterfield Bar,"16 августа, Среда"
"Квиз, плиз! ",#866,61675,Chesterfield Bar,"15 августа, Вторник"
Кино и музыка [новички] ,#138,61662,Резиденция,"15 августа, Вторник"
"Квиз, плиз! ",#866,61658,Резиденция,"14 августа, Понедельник"
"Квиз, плиз!.jpeg ",#4,61613,Chesterfield Bar,"14 августа, Понедельник"
"Квиз, плиз! ",#865,61487,Chesterfield Bar,"13 августа, Воскресенье"
Кино и музыка [стрим] ,#85,61661,"Везде, где есть интернет","13 августа, Воскресенье"
[18+] ,#7,61472,Резиденция,"13 августа, Воскресенье"
[кино и музыка] ,#138,61486,Chesterfield Bar,"13 августа, Воскресенье"
"Квиз, плиз! ",#865,61485,Chesterfield Bar,"12 августа, Суббота"
"Квиз, плиз! [стрим] ",#357,61660,"Везде, где есть интернет","12 августа, Суббота"
[сериалы] ,#7,61476,"Дорогая, я перезвоню","12 августа, Суббота"
"Квиз, плиз! ",#864,61471,Резиденция,"12 августа, Суббота"
[новички] ,#864,61484,Chesterfield Bar,"12 августа, Суббота"
[music party] ,#8,61479,CLUB LIBERTY BAR,"11 августа, Пятница"
"Квиз, плиз! ",#865,61483,Chesterfield Bar,"11 августа, Пятница"
"Квиз, плиз! ",#865,61470,Резиденция,"11 августа, Пятница"
"Квиз, плиз! [стрим] ",#356,61659,"Везде, где есть интернет","11 августа, Пятница"
"Квиз, плиз! ",#864,61477,Papa' S Bar & Grill,"11 августа, Пятница"
[кино и музыка] ,#138,61469,Резиденция,"10 августа, Четверг"
[сериалы] ,#7,61474,MT Music Bar,"10 августа, Четверг"
"Квиз, плиз! ",#863,61478,CLUB LIBERTY BAR,"10 августа, Четверг"
"Квиз, плиз! ",#864,61475,"Дорогая, я перезвоню","10 августа, Четверг"
"Квиз, плиз! ",#864,61482,Chesterfield Bar,"10 августа, Четверг"
[18+] ,#7,61473,Old School Pub,"9 августа, Среда"
[новички] ,#863,61468,Резиденция,"9 августа, Среда"
"Квиз, плиз! ",#863,61481,Chesterfield Bar,"9 августа, Среда"
[кино и музыка] ,#138,61467,Резиденция,"8 августа, Вторник"
